Packet_Size,Transmission_Rate,Latency,Protocol_Type,Active_Connections,CPU_Usage,Memory_Usage,Bandwidth_Utilization,Request_Response_Time,Auth_Failures,Access_Violations,Firewall_Blocks,IDS_Alerts,Anomalous_Load,DWT_Feature_1
602,189.384208,13.39276514,1,481,43.73503418,5763.534906,57.43797264,0.142441543,9,3,0,8,0,0.023823202
935,110.7654042,43.04526631,1,455,43.91124486,6448.478606,76.04396984,1.185326338,9,0,19,5,0,0.186256014
1360,185.9166503,58.80699781,0,196,6.386001652,11960.84107,14.27027274,1.083088994,9,4,15,11,1,1.697021707
770,98.22435519,23.32907188,0,284,19.79545168,2231.916074,31.69203747,1.410342532,0,0,4,5,0,-0.877064755
606,121.465548,77.16824313,0,87,46.5236594,5092.833893,84.89330086,1.334661918,5,1,15,10,0,0.104156824
571,83.90434967,10.75192338,1,309,74.92554402,1984.800898,87.57915519,1.805224122,6,0,4,12,1,-1.576257571
1200,146.0714063,25.17391436,1,224,28.69179557,7332.69454,43.56558286,0.972990378,0,0,9,5,0,0.575882247
520,196.8471673,62.27171469,1,44,49.42469182,8876.86805,43.73754397,0.115902002,1,4,8,11,1,0.104953181
1114,140.5239644,74.29488058,0,336,34.3217772,3457.451472,78.12071894,1.298240095,8,4,18,12,1,3.748260142
621,103.6721126,92.49787924,1,494,13.90833911,523.4438219,36.55632041,1.382751616,8,0,2,1,0,-1.988176317
966,147.1726169,73.49469867,0,439,86.45537106,11537.75772,20.5384673,1.09084048,5,0,8,11,1,1.438884594
714,68.43810177,70.46013432,0,138,77.64727897,418.0821144,33.17819052,1.409679253,3,3,19,5,0,-0.60008035
830,183.298862,45.49070317,0,270,11.67185608,15577.10148,44.86102585,0.714809245,6,1,7,5,0,1.301639912
958,125.4625926,10.1155983,0,359,66.18191731,3623.555382,14.69842386,0.382735776,4,3,3,8,0,1.206074214
587,117.4024613,20.81433329,0,36,34.54429187,10656.01146,53.08122288,1.362651962,2,4,10,1,0,-0.250916441
872,137.8797183,58.10990903,0,34,89.5622336,7012.552447,76.60067615,0.565854216,3,3,3,8,0,-1.289177634
599,143.7175794,70.76168973,0,88,30.70387419,1048.814379,56.237063,0.967000228,1,3,11,4,0,-1.313268996
1371,60.76637093,47.57034555,1,146,25.29276786,7607.719345,16.47058065,1.034083188,5,0,6,14,1,0.340916766
1163,152.3925832,75.76111104,0,16,53.27069661,8316.494085,49.61346682,1.006679146,2,0,7,8,0,-0.818902417
630,86.28975205,56.96760658,1,233,75.98572388,13689.46301,73.80141472,1.237053373,6,1,9,9,0,-0.110778506
1161,157.0928949,16.6758576,0,421,21.3641041,11744.35021,15.22869886,0.155962047,3,2,12,9,0,-1.529552989
808,173.3802192,27.28146259,0,41,65.29923543,1360.909349,15.38624708,1.98039674,7,2,13,1,0,0.955613649
1269,170.5937761,85.59984009,0,255,10.21955957,3425.686667,43.35412629,1.4609899,0,3,15,13,1,-1.013749669
843,132.8751451,75.2421472,1,281,83.10945316,5059.014179,27.54675677,0.908236785,8,1,6,4,0,-0.32908789
991,128.0254838,90.52857883,0,126,11.89136787,1950.882215,94.13027122,0.463527058,2,1,15,10,0,2.132066905
913,71.4313942,20.58015242,0,8,82.70966699,7364.695228,62.32092434,0.252336913,2,4,16,12,1,0.49213669
1305,166.3019226,99.12002812,1,472,46.7186162,15750.51613,35.85928595,1.377161799,4,0,19,1,0,1.362199475
885,90.71140707,28.84660426,1,468,43.08774459,8282.343381,73.42990562,0.702215668,9,4,18,4,0,-1.046013666
